"rt","response_timestamp","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","PROLIFIC_PID","STUDY_ID","SESSION_ID","prolific_id","realtime","view_history","question_order","consent","success","question_id","eventType","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","which_type","canvas_config","goals_layout","control_level","trial_number","tutorial_trial_number","trial_start_time","phase1_start_time","phase2_start_time","phase3_start_time","goal_1_value","goal_1_distance","goal_2_value","goal_2_distance","goal_selected","outcome","outcome_total","participant_final_score","participant_initial_score","participant_final_score_prop","goal_choice_rt","allocated_time","allocated_time_remaining","goal_direction","counts","mouse_movements","key_presses","correct","slider_start"
"8400","1751452179474","<p style='font-size:40px;line-height:1.25'><strong>Welcome to the experiment!</strong></p><p style='font-size:1.1em;line-height:1.25'>Thank you for your interest in our experiment! Before you begin, it is important that we obtain your informed consent to participate in the study.</p><p style='font-size:1.1em;line-height:1.25'>On the next screen will be an <strong>information sheet</strong> for you to read. To participate in the study we need you to read this information sheet and the following consent form carefully. If you agree with all the statements, please click the <strong>I agree</strong> button.</p><p style='font-size:1.1em;line-height:1.25'>Press <strong>Next</strong> to read the information sheet.</p>","0","custom-html-button-response","0","8401","0.0-0.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","2025-07-02T10:29:39.474Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6141","","","","instructions","1","14543","0.0-1.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","[{""page_index"":0,""viewing_time"":4771},{""page_index"":1,""viewing_time"":1369}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4080","","","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":""I agree""}","survey-multi-choice","2","18624","0.0-2.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","[0,1,2,3,4,5,6]","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11052","","","","fullscreen","3","30686","0.0-4.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3537","1751452205296"," <p style='font-size:1.1em;line-height:1.25'>Thank you for completing the consent form and closing all other tabs.</p><p style='font-size:1.1em;line-height:1.25'>We will now invite you to fill in some demographic information and questionnaires, before starting the game.<br>This will take about 5 minutes.<br></p><p style='font-size:1.1em;line-height:1.25'>Press the <strong>Next</strong> button to continue.</p>","0","custom-html-button-response","4","34224","0.0-5.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","2025-07-02T10:30:05.297Z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3044","","","{""age"":""22""}","survey-text","5","37269","0.0-6.0-0.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","","","","0","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2230","","","{""gender_identity"":""male/man""}","survey-multi-choice","6","39500","0.0-6.0-1.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","[0]","","","1","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2438","","","{""assigned_sex"":""male""}","survey-multi-choice","7","41939","0.0-6.0-2.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","[0]","","","2","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3014","","","{""menstrual_cycle"":""No""}","survey-multi-choice","8","44953","0.0-6.0-3.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","[0]","","","4","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6298","","","{""education"":""Bachelor's Degree (e.g., BA)""}","survey-multi-choice","9","51252","0.0-6.0-4.0","198","1","2025-07-02 10:29:19","80fe4187154257d5fb01684ea91b68b9","125.203.3.50","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36","WebKit","Chrome","137.0.0.0","Windows","10.0","https://app.prolific.com/","en-US,en;q=0.9","5f2448855226b0000a8129e1","683db6dfa200031b80f2a654","686509ecd852fdececfdbc73","5f2448855226b0000a8129e1","","","[0]","","","5","demographics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
